open time,0
1548176400000,-0.041137282313677526
1548180000000,-0.0413785410094889
1548183600000,-0.041536022830156005
1548187200000,-0.04182500369083031
1548190800000,-0.04230266048587117
1548194400000,-0.042561272317517496
1548198000000,-0.04261369254219183
1548201600000,-0.0425902530232487
1548205200000,-0.042466738153347894
1548208800000,-0.04274245156202938
1548212400000,-0.04257760844512615
1548216000000,-0.04277750091460586
1548219600000,-0.04276857700731984
1548223200000,-0.043020755011587086
1548226800000,-0.043510531133472696
1548230400000,-0.04393193825392605
1548234000000,-0.04425904038268058
1548237600000,-0.04409762819305452
1548241200000,-0.04432835503536081
1548244800000,-0.04476640602013293
1548248400000,-0.046622336429533506
1548252000000,-0.04368402682245631
1548255600000,-0.045264405171959954
1548259200000,-0.04549410296918377
1548262800000,-0.0455339155187251
1548266400000,-0.04595454041684288
1548270000000,-0.04624569620633423
1548273600000,-0.046255822505156585
1548277200000,-0.04599568072531879
1548280800000,-0.045989148002356206
1548284400000,-0.04600950051563357
1548288000000,-0.046092939396050525
1548291600000,-0.04654489890725033
1548295200000,-0.04714545957211613
1548298800000,-0.04737448840989167
1548302400000,-0.04754330690079889
1548306000000,-0.04758236222125989
1548309600000,-0.04743703913308139
1548313200000,-0.04733189024629514
1548316800000,-0.04737261887127264
1548320400000,-0.047398193752761664
1548324000000,-0.04759488305683757
1548327600000,-0.0468758382000487
1548331200000,-0.04724054368894892
1548334800000,-0.04734790954932899
1548338400000,-0.04750993830490047
1548342000000,-0.04756755450065264
1548345600000,-0.04765011856011303
1548349200000,-0.04774498131969884
1548352800000,-0.04730245003020617
1548356400000,-0.04818065495056989
1548360000000,-0.04830226240480262
1548363600000,-0.04835007711859962
1548367200000,-0.048351355772094706
1548370800000,-0.0483588918496749
1548374400000,-0.04829944528156549
1548378000000,-0.04864372392843275
1548381600000,-0.048694186865218425
1548385200000,-0.048688038430379166
1548388800000,-0.048754356876070215
1548392400000,-0.04880563613122635
1548396000000,-0.04881097146250157
1548399600000,-0.04904438485152118
1548403200000,-0.050467472252716306
1548406800000,-0.05127901520449352
1548410400000,-0.05122970409165273
1548414000000,-0.05131184537569777
1548417600000,-0.05119857972969011
1548421200000,-0.0510276387601547
1548424800000,-0.05089684844444209
1548428400000,-0.051101407773604945
1548432000000,-0.051185033406319524
1548435600000,-0.05146687641237935
1548439200000,-0.05188105077848326
1548442800000,-0.05178502350213998
1548446400000,-0.05172720969040645
1548450000000,-0.051574956089420754
1548453600000,-0.05166781511213192
1548457200000,-0.05168767981746414
1548460800000,-0.051682793883646605
1548464400000,-0.05154426986812699
1548468000000,-0.051518355384069014
