etime,close
2011/10/14,4312
2011/10/17,4243
2011/10/18,4130
2011/10/19,4074
2011/10/20,3908
2011/10/21,3948
2011/10/24,4026
2011/10/25,4058
2011/10/26,4017
2011/10/27,4047
2011/10/28,4102
2011/10/31,4118
2011/11/1,4090
2011/11/2,4011
2011/11/3,4019
2011/11/4,4086
2011/11/7,4112
2011/11/8,4128
2011/11/9,4158
2011/11/10,4061
2011/11/11,4121
2011/11/14,4191
2011/11/15,4163
2011/11/16,4160
2011/11/17,4159
2011/11/18,4146
2011/11/21,4094
2011/11/22,4071
2011/11/23,4073
2011/11/24,4038
2011/11/25,4047
2011/11/28,4079
2011/11/29,4115
2011/11/30,4104
2011/12/1,4181
2011/12/2,4153
2011/12/5,4166
2011/12/6,4143
2011/12/7,4170
2011/12/8,4166
2011/12/9,4165
2011/12/12,4164
2011/12/13,4146
2011/12/14,4149
2011/12/15,4123
2011/12/16,4159
2011/12/19,4167
2011/12/20,4173
2011/12/21,4186
2011/12/22,4187
2011/12/23,4215
2011/12/26,4230
2011/12/27,4234
2011/12/28,4230
2011/12/29,4220
2011/12/30,4201
2012/1/4,4196
2012/1/5,4172
2012/1/6,4181
2012/1/9,4177
2012/1/10,4194
2012/1/11,4221
2012/1/12,4221
2012/1/13,4222
2012/1/16,4230
2012/1/17,4281
2012/1/18,4303
2012/1/19,4309
2012/1/20,4315
2012/1/30,4330
2012/1/31,4291
2012/2/1,4290
2012/2/2,4305
2012/2/3,4322
2012/2/6,4335
2012/2/7,4302
2012/2/8,4308
2012/2/9,4315
2012/2/10,4294
2012/2/13,4258
2012/2/14,4255
2012/2/15,4219
2012/2/16,4171
2012/2/17,4173
2012/2/20,4177
2012/2/21,4201
2012/2/22,4239
2012/2/23,4239
2012/2/24,4228
2012/2/27,4271
2012/2/28,4280
2012/2/29,4288
2012/3/1,4290
2012/3/2,4295
2012/3/5,4272
2012/3/6,4271
2012/3/7,4246
2012/3/8,4278
2012/3/9,4313
2012/3/12,4328
2012/3/13,4340
2012/3/14,4334
2012/3/15,4327
2012/3/16,4333
2012/3/19,4335
2012/3/20,4339
2012/3/21,4343
2012/3/22,4356
2012/3/23,4343
2012/3/26,4354
2012/3/27,4365
2012/3/28,4353
2012/3/29,4323
2012/3/30,4324
2012/4/5,4333
2012/4/6,4368
2012/4/9,4386
2012/4/10,4384
2012/4/11,4371
2012/4/12,4391
2012/4/13,4383
2012/4/16,4346
2012/4/17,4331
2012/4/18,4335
2012/4/19,4320
2012/4/20,4314
2012/4/23,4293
2012/4/24,4274
2012/4/25,4263
2012/4/26,4281
2012/4/27,4282
2012/5/2,4264
2012/5/3,4241
2012/5/4,4248
2012/5/7,4225
2012/5/8,4220
2012/5/9,4185
2012/5/10,4187
2012/5/11,4165
2012/5/14,4152
2012/5/15,4086
2012/5/16,4071
2012/5/17,4073
2012/5/18,4070
2012/5/21,4086
2012/5/22,4084
2012/5/23,4021
2012/5/24,4013
2012/5/25,4026
2012/5/28,4067
2012/5/29,4092
2012/5/30,4097
2012/5/31,4097
2012/6/1,4098
2012/6/4,4040
2012/6/5,4074
2012/6/6,4096
2012/6/7,4114
2012/6/8,4112
2012/6/11,4127
2012/6/12,4092
2012/6/13,4104
2012/6/14,4106
2012/6/15,4119
2012/6/18,4130
2012/6/19,4126
2012/6/20,4143
2012/6/21,4128
2012/6/25,4107
2012/6/26,4087
2012/6/27,4067
2012/6/28,4075
2012/6/29,4065
2012/7/2,4052
2012/7/3,4068
2012/7/4,4080
2012/7/5,4088
2012/7/6,4087
2012/7/9,4054
2012/7/10,4019
2012/7/11,3923
2012/7/12,3916
2012/7/13,3925
2012/7/16,3906
2012/7/17,3862
2012/7/18,3863
2012/7/19,3836
2012/7/20,3782
2012/7/23,3695
2012/7/24,3699
2012/7/25,3713
2012/7/26,3714
2012/7/27,3743
2012/7/30,3757
2012/7/31,3771
2012/8/1,3731
2012/8/2,3677
2012/8/3,3666
2012/8/6,3673
2012/8/7,3679
2012/8/8,3676
2012/8/9,3680
