timestamp,earth_gouzhifee_yoy,estate_invest_yoy,fdckftzwce_bangonglou_yoy,fwsgmj_bangonglou_accumyoy
2012-07-31,8.6,15.4,33.8,22.6
2012-08-31,7.5,15.6,35,23.3
2012-09-30,6.6,15.4,36.1,21
2012-10-31,6.1,15.4,31.4,20.8
2012-11-30,6.9,16.7,32.7,21.7
2012-12-31,5,16.2,31.6,21.5
2013-01-31,,,,
2013-02-28,-25.6,22.8,53.3,23.7
2013-03-31,-13.4,20.2,44.1,24.4
2013-04-30,-1.4,21.1,48.6,26.5
2013-05-31,0.9,20.6,41,24.9
2013-06-30,0.9,20.3,42.8,25.6
2013-07-31,2,20.5,40.2,27.1
2013-08-31,2.7,19.3,40,24.9
2013-09-30,5.3,19.7,37.6,24.8
2013-10-31,5.2,19.2,36.9,24.1
2013-11-30,6.8,19.5,36,24.6
2013-12-31,11.6,19.8,38.2,26.5
2014-01-31,,,,
2014-02-28,35.8,19.3,27.1,26.3
2014-03-31,28.5,16.8,20.8,24.9
2014-04-30,27,16.4,18.9,24.1
2014-05-31,24.8,14.7,16.2,23.5
2014-06-30,26,14.1,19,23.3
2014-07-31,28.9,13.7,19.3,22.9
2014-08-31,30.9,13.2,18.7,23.2
2014-09-30,30.5,12.5,22.8,24.5
2014-10-31,32,12.4,23.8,25.9
2014-11-30,34.4,11.9,24.6,23.4
2014-12-31,29.3,10.5,21.3,21.8
2015-01-31,,,,
2015-02-28,33.3,10.4,14.9,21.2
2015-03-31,28.7,8.5,20.6,19.2
2015-04-30,22.4,6,13.6,17
2015-05-31,18.4,5.1,12.8,15.9
2015-06-30,15.1,4.6,14.4,14.6
2015-07-31,14,4.3,13.5,13.4
2015-08-31,10,3.5,14.2,12.9
2015-09-30,7,2.6,11.1,13.4
2015-10-31,6.4,2,10.7,12
2015-11-30,2.5,1.3,10.3,11.7
2015-12-31,1.2,1,10.1,10.4
2016-01-31,,,,
2016-02-29,11.7,3,16.1,13.2
2016-03-31,1.2,6.2,14.2,13.4
2016-04-30,0.2,7.2,15.4,13.3
2016-05-31,-0.3,7,12.8,12.2
2016-06-30,-1.1,6.1,10.1,11.2
2016-07-31,-1.7,5.3,8.5,10.7
2016-08-31,-0.1,5.4,5.7,9.8
2016-09-30,1.4,5.8,6,8
2016-10-31,3.9,6.6,6.2,7.4
2016-11-30,4.2,6.5,5,6.4
2016-12-31,6.2,6.9,5.2,6
2017-01-31,,,,
2017-02-28,15.2,8.9,-0.6,5.1
2017-03-31,16.6,9.1,-3.8,3.9
2017-04-30,21.1,9.3,1.1,3.9
2017-05-31,18.9,8.8,5.1,3.8
2017-06-30,17.5,8.5,4.8,3.7
